nama,rating,ulasan
Niko Harlensi,5,"Mantap Djiwa.  ????track track yang sangat menantang, terjal, berbatu.jalur pendakian yang sangat menantang. Recoment buat kalian yang mau nanjak. Ketinggian top dempo di 3159mdpl.keren. Pesona dempo3159mdpl????"
Okky chayen,5,Untuk lebih jelasnya pendakian gunung dempo tonton vlog nya di channel youtube "okky chayen" Semoga bermanfaat dan menambah informasi supaya tidak tersesat.salam hangat dari saya
kevin offisial,5,"Pemandangan alam yg luar biasa indahnya, dengan latar gunung dempo dihiasi hamparan kebun teh"
fadil samsudin,5,"Sungguh luar biasa pengalaman di gunung dempo ini, ga bakalan menyesal naik gunung dempo.."
jayanti sa,5,Alhamdulillah diberi kesempatan mendaki puncak Dempo lewat jalur Rimau tahun 2018
nugraha latri,5,Cara Mencapai Puncak
Wisata,4,Daerah terdekat untuk mencapai puncak G. Dempo yang masih bisa dilalui kendaraan adalah daerah perkebunan teh Dempo  terletak di lereng Timur pada ketinggian lk.1665m dpl. Untuk mencapai puncak kawah dari perkampungan terakhir diperlukan waktu 5 - 7 jam. Sedangkan kota terdekat dari perkebunan teh Dempo adalah kota Pagaralam jaraknya lebih kurang10 km  waktu tempuh antara perkebunan teh Dempo dan kota Pagaralam sekitar ? jam. Kota Pagaralam bisa dicapai lewat jalan darat dari Kota Palembang - Muara Enim - Lahat ?- Pagar Alam.
Dodisyah,5,Potensi wisata yang terdapat di sekitar G. Dempo terdiri dari wisata alam dan wisata Cagar budaya. Terdapat empat wisata alam yang menarik untuk dikunjungi yaitu: Kawah Puncak G. Dempo  Kawasan Perkebunan teh Dempo  Air Terjun Singga Kudai dan Air Terjun Lawang Agung. Sedangkan wisata cagar budaya yang dikelola oleh Pemerintah Daerah Propinsi Jambi  Sumatra Selatan dan Bengkulu terdiri dari situs Arca manusia Dandolmen komplek Megalitik Tanjung Aro  dan Komplek Megalitik Tinggi Hari.
Medio Destian,5,"Jalur pendakian dari kampung 4 lanjut ke medan yg luar biasa terjal, mulai dari tanah berakar sampai cadas, tetapi merapi nya sangat indah"
Heni Murhanayanti,5,"Trek tanjakan tiada ampun, apalagi lewat tugu rimau. Kalau beruntung anda akan melihat air kawah yg berwarna hijau"
Dolly Subagja,5,Gunung yang tinggi nan indah di Sumatera Selatan. Pemandangan kebun teh dan udara yang sejuk membuat objek wisata ini sangat nyaman untuk liburan ataupun pendakian.
Frinata Pakpahan,5,Pengen main kesini karena sejuk alam nya
Eko Apriyadi,5,"Pendakian pertama kali Gunung Dempo melalui track Tugu Rimau cukup melelahkan, tetapi ketika mendaki bersama teman-teman perjalanan selama 7 jam yang dirasa saat malam dan hujan yang lebat tidak menyurutkan semangat kami untuk mendaki gunung yang indah di Pagaralam ini."
Febri andika,5,Indah banget pemandanganya  gaes
David Sat,5,Sebelum berangkat saya banyak pikiran hati saya kesel tapi setela saya  sampai ke puncak Gunung Dempo Waw langsung hilang seketika gaes pikiran dan hati yg kesel tadi gaes kek apa ya ahh susah nyelasin nya gaes pokok nya kalo kawan-kawan udh sampai ke puncak happy pokok nya
Achmad Baiquni,5,"mendaki gunung Dempo yang treknya dikenal lumayan berat, bahkan ada yang menyebut lebih berat dibandingkan trek gunung Kerinci."
Dhe andra,5,Wisata alam dgn keindahan yg masih terjaga kelestariannya
E L,5,Destinasi wisata pilihan yg recomended
Bhunda Lingga,5,Dijamin puas jika sudah sampai...
Jon AdiGuna,5,Inih nih rekomendasi Gunung di sumsel Trek nya mantap bener dan disuguhin pemandangan yang ga ada di tempat lain
Kamin Siregar,4,"Subahanallah...Pemandangan Kebun Teh yg luar biasa, dari Puncak Gunung Dempo Pagar Alam-Sumsel."
irfan andrea,5,"Indah sekali pemandangan Gunung Dempo, baik dari Kota Pagaralam di bawah, maupun dari Tugu Rimau di atas. Buat para pendaki gunung layak untuk didaki, cuma saat ini masih dalam Status Waspada dan ada gas beracunnya, jadi masih belum bisa didaki...."
Robi Sugara,5,"Nuansa alam yg masih alami, udara yg masih segar sejuk. Enak buat ngilangin unek2 dalam hati. Cukup bertatap Dgn alam2 yg indah, maha karya sang pencipta. Bakal timbul perasaan yg tidak bisa kita ceritakan"
Ilham Akbar,5,Kreeen. Luas mantap dingin..mantap untuk liburan... Ajak keluarga bahkan pasangan... Apalagi yg haus refresing dari penat hiruk pikuk aktifitas perkotaan... Disini tempatnya.. Penginapan sekaligus aura yang dingin... Enak untuk semua muanya... Liburan d sumsel ya disini...gk lengkap kalo rang sumsel gk pernah berkunjung atau liburan kesini... Disinilah pusat jagar alam... Nama nya jg pagaralam... Banyak lokasi yg asri.. Bkn hanya gunung dempo yg utama tp kebun teh... Curup2 yg ada disekitarannya... Yang mana puluhan curup yg ada dan baru diketemukan jg ada...
Dani Bta,5,"Saya pernah mendaki di sini sekitar tahun 2012 keren bro, wisata gunung tertinggi yg berada di Sumatera Selatan..??????"
Dodi Saputra,5,"Bagi yg suka mendaki gunung,recomend deh sama gunung dempo track nya keren, pemandangan nya bagus banged"
Lesta Minarni,5,"Salah satu tempat wisata di sumsel, cocok bagi yg suka menitmati alam yg asri, perkebunan teh yang luas, banyak air air terjun dikawasan ini, ada juga tempat rekreasi seperti taman, kolam renang, dll. lama perjalanan -+ 7 jam dari kota palembang, akses kesini dg kendaraan pribadi, travel, dan bis juga bisa. stiap hari ramai pengunjung yang datang (sebelum pandemi) kalau saat pandemi seperti ini pengunjung dibatasi, pendakian dempo ditutup, prokes ketat."
Anggi Saputra,5,"Indah banget,, sayang pas di puncak banyak kabut,, merasa senang dan nyaman ad di kebun teh pagar alam...??"
Aryo Anggono,5,Selalu teringat trek nya ..bakal kembali lagi suatu hari nanti??
Aaron Cung,5,Kerenn ?? pagar alam sejuk
Khairul jozz,4,Tempat yg sangat sejuk adalah di atas gunung
Rantika Aswan,5,"Teristimewah berkesan, sekali coba nagih maunya naik lagi ??"
Pandawa Jr,5,Gunung tertinggi disumsel yg berada dipagaralam.tinggi menjulang indah ramai pendaki semoga tetap terjga kelestariannya
Rikoo r,5,Pemandangannya indaahhh .. DINGIN...
Irawan Karnadi,5,"Sejuk, gunung dempo merupakan gunung berapi tertinggi di sumatera selatan, untuk mendaki puncak dempo, bisa dilakukan lewat 2 jalur, sebelum melakukan pendakian, anda bisa menikmati udara segar perkebunan teh pagar alam, puncak dempo ada 2 puncak, yang di pisahkan oleh pelataran pasir/kerikil. Disini biasanya para pendaki mendirikan tenda, sebelum melakukan SUMMIT ke puncak tertinggi. tapi sayang sekali masih banyak sampah yang tinggalkan begitu saja, jalur kampung 4 lebih landai daripada jalur tugu rimau, selamat berpetulang"
Wandy Anime,4,"Keren, rasa gak mau pulang ..."
hery Prasetyo,5,Cocok kalo saya ke pagar alam tapi enak ke pangkal pinang ke pelabuhan tanjung api api 2 jam menungu kapal 2 jam ke peyebagan muntok 4 jam ke pangkal pinang 3 jaman kalo ke pagar alam 9_10  jam tapi masih di sumatera selatan  tapi di keliligin gunung makan nambah dingin dan segar
Rahmad Khairul,5,"Gunung Dempo adalah sebuah gunung yang mempunyai ketinggian hingga 3,195 meter, dan memiliki kawasan hutan Dipterokarp Bukit hutan Montane serta Hutan Ericaceous atau yang disebut hutan gunung. Gunung ini terletak pada perbatasan provinsi Sumatera Selatan dan Bengkulu. Untuk bisa mencapai desa terdekat, Anda harus terlebih dahulu mencapai kota Pagar Alam, lebih kurang 7 jam perjalanan darat dari Palembang. Dari Palembang tersedia banyak bus yang menuju arah Pagar Alam, salah satunya bus Dharma Karya."
RNV Official,5,"Tempat orang touring dan memanjat tebing, tempat penginapannya juga pas banget di gunung gare ada villa ny juga, tempat yang tepat untuk berlibur mengajak keluarga. Letaknya di provinsi sumatera selatan arah muara enim lahat."
Awal Borb7,4,Udara&amp
Agung Mulyadi,5,Ga nyesel datang kesini
Hadi Candra,5,"Subhanallah,indah sekali allah menciptakan ciptaanya,pagar kota para jenderal,kota nan sejuk,penduduknya ramah,alam nya masih asri,cocok buat wisata keluarga,yg paling penting sekarang sudah ada pesawat dari palembang ke pagar alam pulang pergi satu kali sehari."
BOS_ UCUF,5,"Gunung Dempo tempatnya di daerah pagar alam Sumatra Selatan.. Penuh view pemandangan kebun teh., air terjun dan kawah."
Zenith Halalan,5,"Gunung dempo merupakan puncak tertinggi di sumatra selatan dengan ketinggian 3159 mdpl. Kawasan wisata dempo, pagar alam menawarkan panorama pemandangan yang indah. Hamparan ladang petani dan hijaunya kebun teh menjadikan Gunung Dempo layaknya bidadari bagi pariwisata Sumatera Selatan dangan pemandangan alam dan hamparan kebun tehnya yang indah."
Rahmat Doank,5,Bagi anda yg menyukai alam pegunungan anda dapat berkunjung bersama teman2 dan rekan sejawat untuk menikmati tinggi nya gunung Dempo...
Dewi Kartini,5,"Gunung Dempo terletak di perbatasan provinsi Sumatra Selatan dan provinsi Bengkulu tepatnya di kota dingin penghasil kopi robusta yaitu Kota Pagaralam. Gunung Dempo terletak di kota Pagaralam, dengan jarak tempuh darat sekitar 7 jam dari Palembang, ibu kota provinsi Sumatra Selatan."
jhon walker,5,Tempat berwisata keluarga yg patut untuk di kunjungi. Dengan hamparan hijau nya perkebunan teh.gunung dempo yg menjulang tinggi udara yg segar. Siap memanjakan anda yg berkunjung.
setiawan setiawan,5,"Udaranya sangat dinging, dan pemandangan nya pun indah ada dedaunan teh yang sangat banyak, pokok nya seru deh pengalaman pertama kali ke gunung dempo /pagar alam ?? I??PAGAR ALAM ????"
Eko Mujiyanto,5,"Sejuk dan menenangkan.., untuk liburan sangat cocok n menenangkan ditambah lagi penduduk di sekitar kebun tehnya ramah2...terasa damai."
Yolanda Yasmin,5,Enak banget udaranya sejuk cocok banget kalo liburan ke sini pagi pagi bisa liat matahari terbit dengan hamparan kebun teh yang luas
Mareta _JuspiAgst,5,Pagaralam Kota Kecil Sejuta Cerita
Mersya Efendi,5,Tempat yang mantap untuk mendaki gunung...
Zhafarullah Ahmad,5,"Kebun teh yg luar biasa , seluruh kota pagaralam terlihat dari sini , walaupun nggk sampai puncak tapi pemandangannya luar biasa ????"
Faren Lintang,4,"Gunung Dempo dan perkebunan teh, tempat wisata alam kota pagaralam Sumsel yang indah dan sejuk"
Dedi Pga,5,Pemandangan yg sangat bagus.
iin Keke,5,Ini perjalanan ku pada tahun 1997 silam.. Banyak kenangan d sini.. Tpi sekarang gn dempo sdah mnjadi tmpat nya sampah para pendaki.. Yuk.. Jdi la penikmat Alam yg bijak.. Bawa kembali lg turun sampah mu... Karena gunung menyimpan sumber kehidupan..
Trisno Romadonsa,5,Luar biasa
bayu sadikin,4,"Gunung tertinggi di Sumatera Selatan, 3159 MDPL."
Furnama Aji,5,Tempatnya indah akses jalanya baik tapi ada beberapa lobang
Samuel Chandra,5,"Trek sangat menantang, butuh 8 jam mendaki dr Tugu Rimau sampai puncak..."
Jrongen Rasta,3,Kenang?an Msih pacaran...
Febri Alamsyah,5,Adem??
Isco bes,5,"Keindahan Alam dengan ketinggian 3000mdpl, dengan kawah aktif yg banyak warna"
Siska Anggraini,5,info dong ada tmpat penginapan yg dkat gunung kah
Teguh Saputra,4,tanya dong gan apakah gunung Dempo awal bulan April nanti bukak dan bisa di naiki
Subhan Aag,5,Kesejukan alam yg masih sangat alami
Neo Caesar,5,ajib neeh tempat walau jauh
Jelatang Rimba,5,Salah satu gunung berapi aktif di sumatra
Ilham Aryadi,5,Gunung tertinggi sumatra selatan
kodox ngorex,5,Pengen kesini. Klau dari kota pagar alam naik mbil brpa jauh y kepuncak dempo? Rusak gk jalan ny
PapiT0 Gaming,5,Sekarang sudah enak bisa keatas naik mobil dan pemandangan yang indah dan udara yang sejuk
Nalsen mandela,5,Sangat memuaskan pendakian yang tak terlupakan
Yuli Engkong,5,Edaaan nanjak terus
Febry Albarrak,5,"Wisata alam pegunungan yang sangat elok, dan luar biasa, tak pernah membosankan, MasyaAllah"
suara jiwa,5,Luar biasa.
Mirian Suandi,5,Menakjubkan pemandangan yang sangat indah
Valen oficial,5,Sangat indah sekali pokok nya
Pandu Dewantara,5,"Saya pertama kali naik Dempo, wah asik bener, rasa nya lain dengan gunung gunung lainnya."
SYAHRIAL jrx,5,Alhamdulillah di beri kesempatan mendaki gunung dempo
Muhammad Adha,5,Pelaman pertama melakukan aktifitas outdoor
Aldi Salaam,5,"Indahnya luar biasa, sejuuk"
Hery Duduttt,5,banyak tangan2 tak bertanggung jawab buang sampang di sepanjang jalan menuju kesana. ckckck
VOENLI MEO,5,Keadaan gunung tempo yang sangat sejuk membuat hati menjadi senang
Karin Chanx,5,Sangat indah pemandangannya
Mansari Mansari,5,"Hi Ndari naik ke,...bila belum ada  isin,"
fafaaflasher3 Me,5,Gunungnya bagus banget
Mardy Yanata,1,"Tempat yg sejuk, tenang dan menakjubkan"
Syamsul Rh,5,Gunung demponya bagus.Apa lagi di tugu rimau pokoknya gak nyesel kalau tidak pergi kesana
hendra sanjaya,5,Tanjakan dan tikungan mesrah
Marta Pagaralam,5,PagarAlam kota kecil sejuta cerita
Rezky A,5,"Kapok,, pegel badan betis??"
Nepi Malini,5,Tempat ini bagus ya di tambah lagi dengan Istri
azza putra,5,sangat memukau. ayo para penggiat alam jng kotori dempo
Septian Triputra,5,Kepingin sekali mendaki sampai ke puncaknya
Novita Dirhta,5,Sejuk. ??
initial_de 85,5,Sejuk dan damai
Fikri Asrolan,4,Pecinye ujan lemak gi ape
Reynaldo Alfino,5,Tempat melihat pemandangan yang sangat indah
Yudi Oktaveri,5,Untung msh ada ini
emon 21,5,trek nya mnantang mntep dehh gk nyesel
Roy danuarta,5,Di gunung dempo ada air nya
Rony Baron,5,Lokasi yg bagus untung camping ground
muhammad yamin,5,Tempat kebanggaan para pencinta alam. Lestari
Angga Iksan,5,Pemandangan kebun teh nya sangan indah
Anne Valentine,5,Seru karena bisa naik ATP dan ada delman ????
Romy Dwi,5,Inti nya kalau sudah turun pingin kembali lagi
Arya Chandra,5,Gunung Dempo yg exotic
Heriyanto Heri,5,Kuliah Lapangan pertama bioers 2014 FMIPA Unsri
ayu amalia,5,"Sejuk,enak buat refreshing your mind"
Angga Yudha,3,Karna udara yg segar dan pemandangan yg indah
Soni Sonata,5,Sangat indah dengan hamparan kebun teh
INDRA ASAND,5,Sunggu indah untuk dipandang sungguh cantik untuk dilihat......
AW Vlog,5,Tempat berwisata yang indah untk rafting
Panji Prabowo,5,Bagus untuk yg suka mendaki
wawan kusharyanto,5,Sala satu ciptaan Allah Swt yang paling Indah
Muamalah Chick,5,Haha belum kesampean pengen ndaki Dempo ???
kucing terbang,5,Pengen Muncak lgi wkwk
Winata Suryadi,3,Luar biasa
sikam niku,5,Menggapai puncak sanganlah mengasikan
Lutfhi Bbm,5,Lutfhi hajhim mana. Jakarta gawe ulin makan
Sar Iono,3,Dapat dikujungi utuk wisatanya.
qiyan al,5,Senangnya menghirup udarah yang sejuk
dian apriyati,5,"Mantap,  seruuu"
nurpikalia vika,5,Indah banget ni gunung dempo alami
HESEL FAJRI,5,Sangat bagus
Kadri Putra,5,Tempat liburan paling asik di sumsel
AGUS FEBRIYANTO,5,Amazinggh broo
Amarta 25,5,Mantab abis keindahannya
Bella Permatasari,5,"Bagus,bersih rapi dan cantik sejuk"
Nyta Gumiar,5,Asri tempat yg indah bebas polosi
Budi St,5,Keindahan  alam Pagaralam
Dodi Ariansyah,5,Petani
Kawi Boedisetio,4,"Gunung Dempo, Gunungnya Pagaralam... :-)"
Afifah Fhatiya,5,Bibik mu ad sano
Weldi Gagaltenar,5,Mantp kli
ari hebert,5,View yg cakep nian
Partoyo muklas,5,"Daerah kebun teh,sejuk.."
Herian Herian,5,Wisata alam murni gunung dempo
Eddy Budiman,5,Air terjun lematang &amp
cintaka zhizayangi,5,Gunung yang sangat indah
IL ham,4,Kawah nya mantap untuk mandi
Deby Noviyanti,5,Tempat wisata yang bagus ??
Jaw Aqeani,5,track n view yg fantastis
Tio Amoe,5,Pemandangan di atas gunung dempo
Rudy Sulaksana,5,"Seger udaranya, enak kopinya"
Verja Qholan,5,"Bumi Besemah top, Salam jeme kite"
rama virgo,5,Begitu dingin dimalam hari
Dalu aditya,5,Pemandangan yang indah dan mempesona
Ahmad Zulfajri,5,Tanah kelahiranku @pagaralambeautyofsouthsumatera
Indra Saputra,5,Sangat keren
Awal Akhir,5,Surga ini benar benar ada
sahabat alam,4,Begitu indah alam d sanah
mascik kholijah,5,Tapi banyak harimau ngamuk
Jhonypratama Jhon,5,Kota indah dn sejuk..
Jai lani,5,Baik
Alex Saputra,5,Tempat nya sangakt indah
Arian Aw,5,Keren
Azzahra Salsabila,5,Aku suka
Alexi Akram,5,Sejuk sekaliiiii
dafetri haryantoni,5,MasyaaAllah
Kristin Marlina,5,Indah banget Dempo
tirta asri,5,Mantap broooooo
Nopri Ansyah,5,Desa gua cok :v
Indra Setiawan,5,Indah
Shopian Sauri,5,Gunung pertama aku daki
muhammad prawira,5,Awasome g. Dempo
Dhidin Marta,5,Bagus tempatnya
John Ley,5,Mantullll
Resita Wulandari,5,Sejuk
Lamusir PinBel,5,Tamasya bersama keluarga
Kusminto pati,5,Cocok untuk liburan
MS Wijaya,5,Mantap betul
Mardiansyah Usman,5,Enjoy at Pagaralam
Panji Maulana,5,bakalan kesini... Cooming soon
aved kucing,5,??
Nopriansyah Nopri,5,Sangat indah
Arya Pradana,5,Pengen kesini
Jumari Anwar,3,Ekstrim gaes
Ardy Stania,5,belom pernah kesini
Ipan Maulana,5,Wisata alam Sumatera Selatan
Xoxo Nmax,5,Dinginn kalii
Asef Syaifuddin,5,Wow ??????
Ediy Andespeng,5,"Bagus , bersih dan nyaman ,"
RIKSY PICTURES,5,kangen terus ke pagaralam
Rizka Tera,4,Suka ini
Jhoko Pangestu,5,Tempat nya indah
Hendrick Siregar,3,Kangenn..
Djamal ST,5,Pengen kesini lagi
Andra The,3,Sangat bagusss
Dedi Yusup,5,Bagus bngt
Sonny7 Haryanto,5,Keren
Farudin72 Ok,5,Ini adalah kota ku
Andre Hermawan,3,indah banget
Janika Rahmat,5,Keren
Anime Ku,5,Keren banget
David Ralah,5,Takjub
hendri Wantoha,5,Mantep
Komsiyati Wati,3,Asyik
Cinta Muktar,5,Indah
syaiful muslimin,3,Hijau
Octaria Dian,4,Sejuk
Dany Setiyawan,5,Mantap
Prengki Pransiska,5,Tanah kelahiranku
Bian Ganteng,5,Enak
Catur Adiwardana,5,Tempat yang indah
DIKZ GAMING,5,Sip
Mamet Vega,5,Emejiiinnnnngggggggg
Penghuni Uni,3,Keren...
Fitra Jaya,5,Gunung dempo
Febrian Jamil,5,Sip
fidi official,5,Keren
Arfan Efendi,5,Keren
Eddy Gorrie,5,"(Diterjemahkan oleh Google) Dari kunjungan pertama saja. Sampai sekarang dengan istrinya. Kota Pagaralam dengan Gunung Dempo, selalu memiliki tempat tersendiri di hati kita."
Yatie Winx,5,(Diterjemahkan oleh Google) baru saja kembali dari mendaki Gunung Dempo (3159 MDPL) di Sumatera Selatan. Ini adalah pengalaman pertama saya mendaki gunung di Indonesia. Treknya cukup sulit.
Febrian FAP05,5,(Diterjemahkan oleh Google) tempat yang tepat untuk penyembuhan dan suasananya sangat sejuk
Ghalli Ramadhan,5,(Diterjemahkan oleh Google) Keindahan alam merupakan sumber ketenangan dan kesejukan jiwa
Pras set,5,"(Diterjemahkan oleh Google) perjuangan keras, manjur untuk sampai ke puncak dengan selalu berdoa berjamaah dan merenungi alam.. lokasi kebun teh membuat perjalanan semakin menyenangkan"
Inna Hudaya,5,(Diterjemahkan oleh Google) Berada di alam dengan tanaman hijau yang menghangatkan hati Anda
Resident Budi,5,(Diterjemahkan oleh Google) Sialan Dingin Di Sini. Tapi Masih Layak
Afid Hidayat,5,"(Diterjemahkan oleh Google) Kalau dari kota Lampung, kira-kira wahana apa yang paling bagus?"
Puja Setyawan,5,(Diterjemahkan oleh Google) Banyak kenangan dari tempat cantik ini!
Ayunda Yunda,5,"(Diterjemahkan oleh Google) Meski mendung, pemandangannya tetap joss"
Iva _60,5,
Irfan Fikri,5,(Diterjemahkan oleh Google) Tempat yang bagus dan keren
Yana Speed,3,Di lobok
Muji Burrahman,5,(Diterjemahkan oleh Google) tempat yang keren
Novita Sari,5,
Gilang Maulana,4,"(Diterjemahkan oleh Google) Panorama yang bagus, alam yang indah, tempat yang luar biasa"
Rum Ubus,5,"(Diterjemahkan oleh Google) sangat indah, seru cocok untuk bersantai"
Rian Saputra,5,
sujianto Anto,5,(Diterjemahkan oleh Google) Cantik dan keren
Kurcaci Swiss,5,
Sabit Huraira,5,(Diterjemahkan oleh Google) pemandangan gunung yang bagus
Kontol Bsr,5,
MH 17,4,(Diterjemahkan oleh Google) Sangat keren
Zoe Liii,5,
Bang Rex,5,
Emeilda Daniati,5,(Diterjemahkan oleh Google) Dingin
Prakas Ramadhani,4,(Diterjemahkan oleh Google) Kisah dempo
Si Bungsu,5,Brautiful
Samuli Smanju,5,(Diterjemahkan oleh Google) Oke
Palembang Adventure,5,(Diterjemahkan oleh Google) Terbaik
Dwi Andika,5,(Diterjemahkan oleh Google) Menyukai
Ferli Kholiq,5,
Muhammad Adryansyah,5,(Diterjemahkan oleh Google) Allahu akbar
Diantri Ariska,5,
Ian Khan,5,
Alex Ander,5,
angga arizki,5,
een fang,4,
Angga Andrian,5,
BRANYEN Win,5,
m fadly,5,
geri fernando,5,
Wawan Hermawan,3,
Faqih Ataullah,5,
Divi Bkl,1,
Lidya Yunita,5,
Muchlis Ferianto,5,
Rossi Suwar,5,
SalNa Adhriiansy,5,
Aji karya,5,
Olga Yessy,5,
Alek Sander,5,
Naura Carisa,5,
Jatulas Jp,5,
Neni Karlina,2,
Himahwahyuni Yuni,5,
Luffytaro Opbr,1,
Ferli Ansya,5,
Chyntia Kusuma,2,
Pahlevi Levi,1,
Daniel Abdilah,1,
Devin Akbar,2,
Rizky Wulandari,5,
Ein Feronika,1,
Ginting Bengkulu,3,
m_jundi Channel,4,
kesuma wijaya,5,
Aeng Aeng,5,
Yunisa Susanti,5,
Aldi Renaldi_23,5,
Bagusirawan Kusumasandy,5,
Zuraidah Alam,1,
Gita Atika,5,
Arlin Nesya,1,
Bayu Putra,5,
Wachid Trisno,5,
Nugy Ferro,5,
Taufik Adiputra,5,
yayuk diva,5,
Imam Subarkah,5,
Wiwi Marwiyah,5,
Jennie Kim,5,
Andi Zadofa,5,
Hendi K,4,
Muhamad Robiansyah,5,
Angel Liana,5,
Dwi Monira,5,
Oca Gianti,5,
TWA channel,3,
Pradibta Adib,5,
Hasni Mangawing,1,
Dodi Heryanto,5,
Bobi Herwanto,5,
Devani Oktavianti,5,
Fahro Rozi,5,
Kaito Slay,5,
Abu Umair,5,
Dhea Yuldeva,5,
bintang tambunan,5,
Rave N,5,
Muhamad Rifai,3,
Achmad Fadeli,5,
Fery Susanto,5,
yenita malasari,5,
Andrey Purwana,5,
ABDUL QODIR,5,
Khawari Akmal,5,
Kirana Ningsi,5,
Daffa _03,1,
Abraham Alfaraby,4,(Diterjemahkan oleh Google) Oke
Norman Tamarudin,5,(Diterjemahkan oleh Google) Tempat yang bagus
aditia Aditia,5,
Risma Imron,5,
Azizah Channel,5,
Febry Nichardo,5,
Arief Fajri,5,
Andak Andak,5,
Handri Hardi,5,
Meco Mta,2,
Ade Majid,5,
Anjas Sahal,1,
Dimas Setyawan,5,
Pekri Baikun,5,
ahmad barnianto,4,
Septra Lintang,1,
Muhammad Maulana,5,
Mohamad Tedy,5,
adi nugroho,5,
Deby Reynsi,5,
Farika Azzahra,3,
muhammad safitrah,5,
Fier 20,2,
Genio Czan,5,
Asef Gusman,5,
Adrianti Zafa,5,
Jaya Pemimpi,5,
Keweng Dcosta,5,
Riwan Aja,1,
Boy Setiyawan,5,
yetie febriani,5,
Santosa Tri,5,
Muhammad Aslam,5,
yudha ys,5,
Best Piccolo,5,
madevaka madevaka,1,
Ozi Zie,5,
Ade Suparman,5,
